symbol,date,open,high,low,close,volume,adjusted
BBRI.JK,2014-01-02,1460,1470,1440,1460,122627500,1065.5867919921875
BBRI.JK,2014-01-03,1450,1460,1430,1450,102682500,1058.28857421875
BBRI.JK,2014-01-06,1440,1450,1400,1405,111960500,1025.4449462890625
BBRI.JK,2014-01-07,1415,1425,1415,1415,88971500,1032.7435302734375
BBRI.JK,2014-01-08,1420,1445,1420,1435,96254500,1047.340576171875
BBRI.JK,2014-01-09,1440,1475,1440,1465,212697500,1069.236083984375
BBRI.JK,2014-01-10,1470,1520,1465,1520,303597500,1109.3780517578125
BBRI.JK,2014-01-13,1540,1680,1540,1675,692361000,1222.505615234375
BBRI.JK,2014-01-15,1700,1720,1670,1695,326795500,1237.1024169921875
BBRI.JK,2014-01-16,1690,1690,1620,1620,136295000,1182.363525390625
BBRI.JK,2014-01-17,1620,1680,1615,1665,113860500,1215.20703125
BBRI.JK,2014-01-20,1650,1665,1635,1640,66710500,1196.960693359375
BBRI.JK,2014-01-21,1640,1680,1640,1665,125765000,1215.20703125
BBRI.JK,2014-01-22,1670,1705,1665,1680,206709000,1226.1549072265625
BBRI.JK,2014-01-23,1740,1770,1730,1740,336004500,1269.9461669921875
BBRI.JK,2014-01-24,1680,1740,1675,1680,255418500,1226.1549072265625
BBRI.JK,2014-01-27,1610,1665,1600,1650,216868500,1204.259033203125
BBRI.JK,2014-01-28,1610,1655,1610,1635,134072500,1193.3115234375
BBRI.JK,2014-01-29,1635,1665,1630,1660,251765500,1211.5577392578125
BBRI.JK,2014-01-30,1620,1665,1620,1665,145763000,1215.20703125
BBRI.JK,2014-02-03,1665,1670,1650,1660,114157500,1211.5577392578125
BBRI.JK,2014-02-04,1655,1675,1625,1655,155681500,1207.90869140625
BBRI.JK,2014-02-05,1660,1675,1640,1665,131095000,1215.20703125
BBRI.JK,2014-02-06,1655,1680,1645,1680,173236000,1226.1549072265625
BBRI.JK,2014-02-07,1700,1750,1695,1745,249059000,1273.595458984375
BBRI.JK,2014-02-10,1750,1760,1735,1740,156124500,1269.9461669921875
BBRI.JK,2014-02-11,1760,1770,1750,1760,155881500,1284.5430908203125
BBRI.JK,2014-02-12,1780,1790,1735,1735,170137000,1266.2967529296875
BBRI.JK,2014-02-13,1730,1750,1730,1740,121561000,1269.9461669921875
BBRI.JK,2014-02-14,1740,1750,1735,1745,256831000,1273.595458984375
BBRI.JK,2014-02-17,1760,1800,1760,1790,447200500,1306.438720703125
BBRI.JK,2014-02-18,1790,1800,1785,1800,174219500,1313.7373046875
BBRI.JK,2014-02-19,1800,1890,1800,1875,463026500,1368.476318359375
BBRI.JK,2014-02-20,1875,1930,1875,1910,336131000,1394.021240234375
BBRI.JK,2014-02-21,1925,1940,1915,1930,257079000,1408.6182861328125
BBRI.JK,2014-02-24,1945,1970,1930,1930,228647500,1408.6182861328125
BBRI.JK,2014-02-25,1930,1940,1870,1885,231964000,1375.7750244140625
BBRI.JK,2014-02-26,1860,1890,1825,1885,340413000,1375.7750244140625
BBRI.JK,2014-02-27,1880,1880,1835,1840,128007500,1342.9315185546875
BBRI.JK,2014-02-28,1845,1855,1830,1855,143299500,1353.8792724609375
BBRI.JK,2014-03-03,1850,1855,1815,1850,152099000,1350.2301025390625
BBRI.JK,2014-03-04,1850,1860,1830,1830,138358000,1335.633056640625
BBRI.JK,2014-03-05,1850,1860,1840,1855,237985500,1353.8792724609375
BBRI.JK,2014-03-06,1860,1905,1855,1905,288779500,1390.3719482421875
BBRI.JK,2014-03-07,1900,1900,1845,1850,157070000,1350.2301025390625
BBRI.JK,2014-03-10,1830,1845,1805,1815,204454500,1324.68505859375
BBRI.JK,2014-03-11,1810,1850,1810,1845,121247000,1346.580810546875
BBRI.JK,2014-03-12,1835,1845,1825,1830,108681000,1335.633056640625
BBRI.JK,2014-03-13,1845,1865,1835,1865,142869000,1361.1778564453125
BBRI.JK,2014-03-14,1830,2100,1830,2060,418771000,1503.49951171875
BBRI.JK,2014-03-17,2060,2060,1950,2000,338822480,1459.7081298828125
BBRI.JK,2014-03-18,2000,2005,1940,1940,241048000,1415.9168701171875
BBRI.JK,2014-03-19,1960,1980,1945,1965,127349500,1434.163330078125
BBRI.JK,2014-03-20,1960,1960,1900,1910,182636500,1394.021240234375
BBRI.JK,2014-03-21,1910,1925,1855,1860,316677000,1357.5286865234375
BBRI.JK,2014-03-24,1880,1890,1865,1885,169280500,1375.7750244140625
BBRI.JK,2014-03-25,1875,1915,1875,1905,172280500,1390.3719482421875
BBRI.JK,2014-03-26,1905,1920,1890,1890,162345000,1379.424072265625
BBRI.JK,2014-03-27,1900,1905,1890,1890,162588000,1379.424072265625
BBRI.JK,2014-03-28,1900,1925,1895,1915,173599000,1397.670654296875
BBRI.JK,2014-04-01,1950,2000,1940,2000,304717000,1459.7081298828125
BBRI.JK,2014-04-02,1980,2015,1970,2000,156019500,1459.7081298828125
BBRI.JK,2014-04-03,1990,2020,1990,2020,123635000,1474.30517578125
BBRI.JK,2014-04-04,2020,2025,1965,1990,123237500,1452.409423828125
BBRI.JK,2014-04-07,1980,2015,1970,2005,213733500,1463.357421875
BBRI.JK,2014-04-08,2015,2040,2010,2035,283798500,1485.2530517578125
BBRI.JK,2014-04-09,2035,2035,2035,2035,0,1485.2530517578125
BBRI.JK,2014-04-10,1960,1960,1885,1885,664047000,1375.7750244140625
BBRI.JK,2014-04-11,1875,1930,1870,1910,233937500,1394.021240234375
BBRI.JK,2014-04-14,1910,1955,1910,1955,180465000,1426.86474609375
BBRI.JK,2014-04-15,1970,1985,1970,1970,162436500,1437.8125
BBRI.JK,2014-04-16,1985,1995,1980,1990,83102000,1452.409423828125
BBRI.JK,2014-04-17,2000,2005,1975,2000,77059500,1459.7081298828125
BBRI.JK,2014-04-21,2010,2010,1990,2010,93145000,1467.006591796875
BBRI.JK,2014-04-22,2020,2040,2005,2040,142054000,1488.9024658203125
BBRI.JK,2014-04-23,2040,2050,1995,2005,102437500,1463.357421875
BBRI.JK,2014-04-24,2040,2050,2000,2010,174706500,1467.006591796875
BBRI.JK,2014-04-25,2000,2020,1995,2000,151287000,1459.7081298828125
BBRI.JK,2014-04-28,2010,2020,1955,1965,193170500,1434.163330078125
BBRI.JK,2014-04-29,1935,1960,1925,1955,116380000,1461.66650390625
BBRI.JK,2014-04-30,1975,2000,1970,1980,189508000,1480.35791015625
BBRI.JK,2014-05-02,2000,2015,1990,2010,141477000,1502.7874755859375
BBRI.JK,2014-05-05,2005,2020,1990,2015,70888500,1506.5257568359375
BBRI.JK,2014-05-06,1990,2015,1990,2005,33465500,1499.0491943359375
BBRI.JK,2014-05-07,2010,2035,1995,2035,169602000,1521.4788818359375
BBRI.JK,2014-05-08,2040,2050,2010,2015,81563500,1506.5257568359375
BBRI.JK,2014-05-09,2035,2035,2000,2025,86555500,1514.00244140625
BBRI.JK,2014-05-12,2030,2040,2015,2015,90559000,1506.5257568359375
BBRI.JK,2014-05-13,2035,2035,1995,2010,99537000,1502.7874755859375
BBRI.JK,2014-05-14,2020,2115,2015,2115,240563000,1581.291259765625
BBRI.JK,2014-05-16,2145,2180,2120,2155,225225500,1611.1976318359375
BBRI.JK,2014-05-19,2195,2210,2130,2195,178482500,1641.103759765625
BBRI.JK,2014-05-20,2110,2170,2085,2110,203983000,1577.5528564453125
BBRI.JK,2014-05-21,2095,2125,2075,2095,103234000,1566.338134765625
BBRI.JK,2014-05-22,2160,2175,2110,2160,144773000,1614.93603515625
BBRI.JK,2014-05-23,2165,2180,2155,2165,66907500,1618.674072265625
BBRI.JK,2014-05-26,2135,2185,2125,2135,65641000,1596.2445068359375
BBRI.JK,2014-05-28,2140,2145,2115,2140,105090000,1599.982666015625
BBRI.JK,2014-05-30,2040,2180,2040,2040,286402500,1525.21728515625
BBRI.JK,2014-06-02,2060,2080,2050,2060,149272500,1540.1702880859375
BBRI.JK,2014-06-03,2070,2075,2050,2070,105389000,1547.6468505859375
BBRI.JK,2014-06-04,2055,2070,2040,2055,146124500,1536.4320068359375
BBRI.JK,2014-06-05,2045,2045,2000,2030,167689000,1517.7406005859375
BBRI.JK,2014-06-06,2015,2030,2005,2015,189338000,1506.5257568359375
BBRI.JK,2014-06-09,1975,2020,1975,1975,235097500,1476.61962890625
BBRI.JK,2014-06-10,2045,2045,1990,2045,235895000,1528.9554443359375
BBRI.JK,2014-06-11,2055,2055,2020,2055,127527000,1536.4320068359375
BBRI.JK,2014-06-12,2030,2055,2010,2030,112730000,1517.7406005859375
BBRI.JK,2014-06-13,2035,2040,2020,2035,63073000,1521.4788818359375
BBRI.JK,2014-06-16,2030,2040,2005,2030,87900000,1517.7406005859375
BBRI.JK,2014-06-17,2035,2040,2015,2035,80167500,1521.4788818359375
BBRI.JK,2014-06-18,2020,2035,2010,2020,87740000,1510.263916015625
BBRI.JK,2014-06-19,2010,2030,2005,2010,78740000,1502.7874755859375
BBRI.JK,2014-06-20,2000,2050,2000,2000,119865000,1495.3109130859375
BBRI.JK,2014-06-23,1985,2025,1985,1985,168722000,1484.0960693359375
BBRI.JK,2014-06-24,2000,2010,1970,2000,118649500,1495.3109130859375
BBRI.JK,2014-06-25,2015,2025,1995,2015,134661000,1506.5257568359375
BBRI.JK,2014-06-26,2010,2030,2005,2010,174331500,1502.7874755859375
BBRI.JK,2014-06-27,2020,2025,2000,2020,111025500,1510.263916015625
BBRI.JK,2014-06-30,2065,2065,2020,2065,183719500,1543.9085693359375
BBRI.JK,2014-07-01,2075,2075,2050,2075,80991500,1551.3851318359375
BBRI.JK,2014-07-02,2060,2085,2050,2060,64985500,1540.1702880859375
BBRI.JK,2014-07-03,2035,2065,2035,2035,192628500,1521.4788818359375
BBRI.JK,2014-07-04,2040,2060,2020,2040,83792000,1525.21728515625
BBRI.JK,2014-07-07,2110,2115,2065,2110,268376000,1577.5528564453125
BBRI.JK,2014-07-08,2235,2290,2170,2235,321902500,1671.0098876953125
BBRI.JK,2014-07-09,2235,2235,2235,2235,0,1671.0098876953125
BBRI.JK,2014-07-10,2335,2440,2300,2335,503919500,1745.7757568359375
BBRI.JK,2014-07-11,2300,2320,2250,2300,234574500,1719.6075439453125
BBRI.JK,2014-07-14,2275,2300,2230,2275,217180500,1700.916259765625
BBRI.JK,2014-07-15,2320,2320,2275,2320,124340500,1734.560546875
BBRI.JK,2014-07-16,2280,2355,2280,2280,173577500,1704.654541015625
BBRI.JK,2014-07-17,2285,2310,2260,2285,135805000,1708.392822265625
BBRI.JK,2014-07-18,2315,2315,2270,2315,79654500,1730.822265625
BBRI.JK,2014-07-21,2340,2360,2315,2340,175318000,1749.513671875
BBRI.JK,2014-07-22,2285,2360,2265,2285,306208500,1708.392822265625
BBRI.JK,2014-07-23,2280,2325,2275,2280,206253500,1704.654541015625
BBRI.JK,2014-07-24,2275,2310,2250,2275,223727500,1700.916259765625
BBRI.JK,2014-07-25,2240,2295,2240,2240,162126000,1674.7481689453125
BBRI.JK,2014-08-04,2195,2275,2150,2195,402469500,1641.103759765625
BBRI.JK,2014-08-05,2165,2195,2155,2165,222615000,1618.674072265625
BBRI.JK,2014-08-06,2125,2145,2120,2125,221188000,1588.7679443359375
BBRI.JK,2014-08-07,2160,2165,2120,2160,160982500,1614.93603515625
BBRI.JK,2014-08-08,2150,2160,2135,2150,110281000,1607.458984375
BBRI.JK,2014-08-11,2185,2190,2165,2185,142703500,1633.626953125
BBRI.JK,2014-08-12,2180,2210,2170,2180,86537500,1629.8887939453125
BBRI.JK,2014-08-13,2185,2185,2160,2185,130834500,1633.626953125
BBRI.JK,2014-08-14,2165,2185,2160,2165,142380000,1618.674072265625
BBRI.JK,2014-08-15,2150,2170,2150,2150,140828000,1607.458984375
BBRI.JK,2014-08-18,2160,2170,2145,2160,130456000,1614.93603515625
BBRI.JK,2014-08-19,2170,2185,2165,2170,218727000,1622.41259765625
BBRI.JK,2014-08-20,2205,2210,2175,2205,221311000,1648.5804443359375
BBRI.JK,2014-08-21,2240,2240,2195,2240,199832000,1674.7481689453125
BBRI.JK,2014-08-22,2255,2260,2225,2255,150944000,1685.9630126953125
BBRI.JK,2014-08-25,2260,2265,2235,2260,97276000,1689.7015380859375
BBRI.JK,2014-08-26,2215,2255,2215,2215,179122500,1656.0570068359375
BBRI.JK,2014-08-27,2225,2235,2215,2225,84835500,1663.5333251953125
BBRI.JK,2014-08-28,2220,2235,2220,2220,70879000,1659.794921875
BBRI.JK,2014-08-29,2210,2230,2205,2210,98122000,1652.3184814453125
BBRI.JK,2014-09-01,2210,2225,2200,2210,27608000,1652.3184814453125
BBRI.JK,2014-09-02,2220,2230,2205,2220,59928500,1659.794921875
BBRI.JK,2014-09-03,2225,2235,2215,2225,74970500,1663.5333251953125
BBRI.JK,2014-09-04,2210,2235,2210,2210,86422000,1652.3184814453125
BBRI.JK,2014-09-05,2190,2230,2180,2190,147811500,1637.3653564453125
BBRI.JK,2014-09-08,2190,2210,2190,2190,162564500,1637.3653564453125
BBRI.JK,2014-09-09,2165,2190,2160,2165,186386500,1618.674072265625
BBRI.JK,2014-09-10,2150,2170,2135,2150,150311500,1607.458984375
BBRI.JK,2014-09-11,2145,2175,2145,2145,112652000,1603.7208251953125
BBRI.JK,2014-09-12,2115,2145,2100,2115,206104500,1581.291259765625
BBRI.JK,2014-09-15,2085,2100,2060,2085,197069500,1558.8616943359375
BBRI.JK,2014-09-16,2065,2100,2060,2065,204344000,1543.9085693359375
BBRI.JK,2014-09-17,2080,2090,2070,2080,186644500,1555.123291015625
BBRI.JK,2014-09-18,2100,2120,2070,2100,187120000,1570.0765380859375
BBRI.JK,2014-09-19,2160,2190,2115,2160,202634500,1614.93603515625
BBRI.JK,2014-09-22,2160,2175,2140,2160,103747000,1614.93603515625
BBRI.JK,2014-09-23,2130,2160,2125,2130,125047000,1592.506103515625
BBRI.JK,2014-09-24,2120,2140,2120,2120,73084500,1585.0296630859375
BBRI.JK,2014-09-25,2155,2165,2130,2155,116121500,1611.1976318359375
BBRI.JK,2014-09-26,2070,2110,2070,2070,274800500,1547.6468505859375
BBRI.JK,2014-09-29,2075,2090,2030,2075,177439000,1551.3851318359375
BBRI.JK,2014-09-30,2085,2095,2065,2085,247313000,1558.8616943359375
BBRI.JK,2014-10-01,2150,2160,2100,2150,228574000,1607.458984375
BBRI.JK,2014-10-02,2070,2120,2070,2070,178750500,1547.6468505859375
BBRI.JK,2014-10-03,2005,2080,2000,2005,282416000,1499.0491943359375
